DATE,GDP
1989-10-01,5747.237
1990-01-01,5872.701
1990-04-01,5960.028
1990-07-01,6015.116
1990-10-01,6004.733
1991-01-01,6035.178
1991-04-01,6126.862
1991-07-01,6205.937
1991-10-01,6264.54
1992-01-01,6363.102
1992-04-01,6470.763
1992-07-01,6566.641
1992-10-01,6680.803
1993-01-01,6729.459
1993-04-01,6808.939
1993-07-01,6882.098
1993-10-01,7013.738
1994-01-01,7115.652
1994-04-01,7246.931
1994-07-01,7331.075
1994-10-01,7455.288
1995-01-01,7522.289
1995-04-01,7580.997
1995-07-01,7683.125
1995-10-01,7772.586
1996-01-01,7868.468
1996-04-01,8032.84
1996-07-01,8131.408
1996-10-01,8259.771
